Location,Address,Resolved Address,Date time,Maximum Temperature,Minimum Temperature,Temperature,Wind Chill,Heat Index,Precipitation,Snow Depth,Wind Speed,Wind Gust,Cloud Cover,Relative Humidity,Conditions
,US,,03/01/2020,50.7,27.2,38.9,22.6,,0,,11.9,19.7,13.1,41.61,Clear
,US,,03/02/2020,64.9,37.7,51.6,32.8,,0.1,,17.7,31.2,52.7,45.42,"Rain, Partially cloudy"
,US,,03/03/2020,64.7,45.2,53.5,43.1,,0.1,,23.6,37.6,37.8,78.37,"Rain, Partially cloudy"
,US,,03/04/2020,64.6,47.2,55.5,43.7,,0,,18.3,33.5,25.8,36.63,Partially cloudy
,US,,03/05/2020,53.4,41,48.1,37,,0,,23.6,29.6,48.2,44.77,Partially cloudy
,US,,03/06/2020,51.5,38,43.7,33.5,,0,,17,32.2,55.3,64.29,Partially cloudy
,US,,03/07/2020,52.6,38.6,44.9,29.6,,0,,26.7,39.3,39.2,40.06,Partially cloudy
,US,,03/08/2020,60.9,36.9,48.2,33.8,,0,,12.7,19.7,25.1,36.45,Partially cloudy
,US,,03/09/2020,73.7,43.3,57.1,39.4,,0,,11.1,21.9,47.3,35.82,Partially cloudy
,US,,03/10/2020,73.1,54.4,62.1,,,0,,21.9,34.4,63.5,58.76,Partially cloudy
,US,,03/11/2020,59.8,46,52.2,42.2,,0,,15.5,17.2,38.8,61.77,Partially cloudy
,US,,03/12/2020,62.3,47.1,53.3,45.1,,0,,9.9,,88.4,66.89,Overcast
,US,,03/13/2020,75.3,50.8,61.5,,,0.1,,20,32.6,73.5,62.16,"Rain, Partially cloudy"
,US,,03/14/2020,58.5,44.6,51.9,38.6,,0.1,,19.2,24.2,59.6,34.18,"Rain, Partially cloudy"
,US,,03/15/2020,49.8,40.5,44.5,33.6,,0.1,,13.8,,70.9,75.57,"Rain, Partially cloudy"
,US,,03/16/2020,54.6,38.1,46.1,31.8,,0,,13.7,16.1,44.8,58.47,Partially cloudy
,US,,03/17/2020,63,43.8,51.9,40.2,,0,,14.9,,62.8,68.84,Partially cloudy
,US,,03/18/2020,56.7,43.8,50.9,38.3,,0,,13.5,19.7,54.3,57.5,Partially cloudy
,US,,03/19/2020,73.3,48.7,57.9,45.5,,0.2,,10.8,,63.8,82.91,"Rain, Partially cloudy"
,US,,03/20/2020,81.6,57.3,70.1,,81.4,0,,24.6,36.8,49.2,66.56,Partially cloudy
,US,,03/21/2020,70.8,48.4,54.5,42.5,,0.1,,17.9,27.6,79.3,54.61,"Rain, Overcast"
,US,,03/22/2020,51.7,39.5,46.2,32,,0,,18,25,65.5,47.94,Partially cloudy
,US,,03/23/2020,45.9,41.7,43.9,34.7,,0.3,,14.2,19.7,75.1,85.85,"Rain, Overcast"
,US,,03/24/2020,54.9,43.4,48.7,41.4,,0,,14.1,,57.8,71.49,Partially cloudy
,US,,03/25/2020,49.6,43.9,47.1,38.6,,0.2,,14.6,22.7,77.2,85.57,"Rain, Overcast"
,US,,03/26/2020,57.8,44.8,50.8,41.9,,0,,13.1,20.8,54.6,73.76,Partially cloudy
,US,,03/27/2020,68.4,51.2,59.5,,,0,,10.5,17.2,59.1,65.94,Partially cloudy
,US,,03/28/2020,58.6,51.6,55.3,,,0.4,,11.8,,83.9,89.34,"Rain, Overcast"
,US,,03/29/2020,69.6,50.8,56.1,,,0,,13.6,,72.7,87.84,Partially cloudy
,US,,03/30/2020,74.2,53.9,60.1,,,0,,19.1,27.3,53.2,65.35,Partially cloudy
,US,,03/31/2020,55.5,44.5,50.7,38.4,,0.1,,13.8,23,58.4,65.6,"Rain, Partially cloudy"
,US,,04/01/2020,55.7,41.9,48.1,34.2,,0,,15.8,19.7,63.8,66.7,Partially cloudy
,US,,04/02/2020,62.6,42.9,53.4,38.2,,0,,25.8,36.5,18.3,38,Clear
,US,,04/03/2020,66.3,47.6,56.2,42.1,,0,,25.7,37.9,34.9,36.81,Partially cloudy
,US,,04/04/2020,58.6,49.7,54.1,45.9,,0,,13.9,,86.4,62.34,Overcast
,US,,04/05/2020,67.7,46.7,56.7,43.7,,0,,10.5,,46.2,70.37,Partially cloudy
,US,,04/06/2020,70.6,54.6,61.5,,,0,,11.8,17.2,36.4,52.1,Partially cloudy
,US,,04/07/2020,71.1,52.9,60,,,0.2,,10.7,,50.1,74.49,"Rain, Partially cloudy"
,US,,04/08/2020,77.7,55.9,65.7,,,0,,17.6,25.5,42.4,67.24,Partially cloudy
,US,,04/09/2020,72,49.2,59.1,42.2,,0.2,,29.4,45.8,33.6,60.84,"Rain, Partially cloudy"
,US,,04/10/2020,52.4,42.8,47.1,33.9,,0,,27.3,39.1,40,35.16,Partially cloudy
,US,,04/11/2020,62.7,37.7,50.6,33.7,,0,,18.3,25.2,30.3,42.42,Partially cloudy
,US,,04/12/2020,71.9,45.1,57.7,42.6,,0,,17.6,21,58.9,63.01,Partially cloudy
,US,,04/13/2020,78.6,58.6,66.6,,,1.4,,23.4,34,46.3,73.47,"Rain, Partially cloudy"
,US,,04/14/2020,58.4,42.7,52.1,34.3,,0,,19.7,29.5,67,46.08,Partially cloudy
,US,,04/15/2020,52.9,37.8,45.4,32,,0.2,,14.8,21.9,41.3,57.66,"Rain, Partially cloudy"
,US,,04/16/2020,53.5,42.1,47.1,34.9,,0,,19.2,28.2,28.7,41.6,Partially cloudy
,US,,04/17/2020,57.3,37.8,49.1,34.3,,0,,15.1,21.9,57.8,53.37,Partially cloudy
,US,,04/18/2020,54.6,45.7,50,43,,0.1,,26.1,35.5,51.3,63.99,"Rain, Partially cloudy"
,US,,04/19/2020,65.6,37.7,52.5,34.9,,0,,17.4,23.3,35.9,54.73,Partially cloudy
,US,,04/20/2020,63.6,52.1,56.2,,,0,,12.8,,60,62.41,Partially cloudy
,US,,04/21/2020,66.1,47.4,55.6,40.5,,0,,32.8,40.9,39.1,58.71,Partially cloudy
,US,,04/22/2020,60.7,37.7,50.2,35,,0,,18.7,30.9,17.7,32.18,Clear
,US,,04/23/2020,58.6,48.6,53.6,47.3,,0.3,,10.5,,50.3,65.52,"Rain, Partially cloudy"
,US,,04/24/2020,58.4,52.7,54.9,,,0.3,,12.5,,93.6,86.99,"Rain, Overcast"
,US,,04/25/2020,64.1,47.4,55,46.8,,0.1,,12.8,,73.7,77.5,"Rain, Partially cloudy"
,US,,04/26/2020,56.5,49.6,52.9,44.9,,0.2,,11.9,,93,91.91,"Rain, Overcast"
,US,,04/27/2020,58.4,44.6,50.9,38.3,,0.1,,19.3,30.4,57.9,68.27,"Rain, Partially cloudy"
,US,,04/28/2020,56.8,43.9,50.9,43.2,,0,,10.4,,67.2,72.05,Partially cloudy
,US,,04/29/2020,74,47,61.2,44.6,,0,,17.9,27.7,41.3,70.59,Partially cloudy
,US,,04/30/2020,67.6,57.5,62.3,,,0.6,,21.4,33.2,53.9,84.11,"Rain, Partially cloudy"
,US,,05/01/2020,65.6,52.9,58.7,,,0.1,,15,25.3,57.1,69.34,"Rain, Partially cloudy"
,US,,05/02/2020,71.7,51.7,61.3,,,0,,15.5,19.7,18.4,53.21,Clear
,US,,05/03/2020,76.8,60,65.4,,,0.4,,13.1,18.3,57.5,71.43,"Rain, Partially cloudy"
,US,,05/04/2020,74.5,57.3,66.4,,,0.3,,26.9,40.4,41.5,53.44,"Rain, Partially cloudy"
,US,,05/05/2020,57.7,48.7,53.4,46.1,,0.2,,14,,73,55.26,"Rain, Partially cloudy"
